Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs,Item
Satyam Taj (Cassia Bark),Satyam,38,35,Grocery,Masala & Spices,50 gm,"OverviewCassia bark is a well-known spice that is renowned for its aroma and flavour. It adds a savoury and spicy taste to your food. It is used to enhance the taste of different meat dishes, curries and much more.",Grocery > Masala & Spices,Taj
Premia Chilli Guntur Stemless,,75,56,Grocery,Grocery/Masala & Spices,100 gm,India,Grocery > Grocery/Masala & Spices,Dry Chilly
Satyam Sabja,Satyam,66,61,Grocery,Masala & Spices,100 gm,"OverviewSabja or black seeds are black seeds that offer you a range of health benefits. They are native to India and is often used in Indian cooking and Ayurveda. Sabja seeds are rich in protein, essential fats, carbs, and are packed with fibre. They are best consumed after soaking in water for a considerable amount of time. These seeds are usually given to those suffering from health problems.",Grocery > Masala & Spices,Sabja
Satyam Sunflower Seeds,Satyam,62,57,Grocery,Masala & Spices,100 gm,"Overview:Snack on healthy sunflower seeds or sprinkle them over your chapatis and salads to enjoy its many health benefits.Key FeaturesHigh qualityHygienically packedBenefitsKnown to be high in protein.Rich in healthy fats.Good source of antioxidants that can lower your risk of developing serious conditions.StorageStore in a cool, dry & hygienic place.About the BrandSince the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulses, Groceries & Customized Giftable Packaging for special occasions.",Grocery > Masala & Spices,Sunflower Seeds
Satyam Tamarind,Satyam,170,158,Grocery,Masala & Spices,500 gm,"Overview:Make imli chutney at home to enjoy your chaats and add a bit of imli to your chole or other gravies for a tangy flavour.Key FeaturesHigh qualityHygienically packedBenefitsKnown to be a rich source of magnesium.Also known to contain more calcium than many plant foods.StorageStore in a cool, dry & hygienic place.About the BrandSince the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulses, Groceries & Customized Giftable Packaging for special occasions.",Grocery > Masala & Spices,Emli
Satyam Tamarind,Satyam,69,64,Grocery,Masala & Spices,200 gm,"Overview:Make imli chutney at home to enjoy your chaats and add a bit of imli to your chole or other gravies for a tangy flavour.Key FeaturesHigh qualityHygienically packedBenefitsKnown to be a rich source of magnesium.Also known to contain more calcium than many plant foods.StorageStore in a cool, dry & hygienic place.About the BrandSince the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulses, Groceries & Customized Giftable Packaging for special occasions.",Grocery > Masala & Spices,Emli
Satyam Rai,Satyam,54,50,Grocery,Masala & Spices,200 gm,"OverviewMustard seeds or Rai are small edible seeds that are used across various cuisines. It has a strong aroma and taste. It is one of the main spices used in Indian cooking. They have a sharp and pungent taste. Add it to your curries, rice, spice mix or any other item to enhance their taste.Key Features- Used as a spice in Indian cuisine- Sharp, pungent, earthy flavour- High in minerals, fibre, and Omega-3s",Grocery > Masala & Spices,Mustard Seeds
Satyam Pandi Chilli,Satyam,82,66,Grocery,Masala & Spices,100 gm,"OverviewThe Pandi Chilli is a spicy chilli that is native to South India. They are used extensively in Indian cuisine to add spice to various dishes. It is much spicier than regular chillies, however it lacks colour. Red Chilli is good in antioxidants, Vitamin-A, Flavonoids like B-carotene, A-carotenoid, Lutein, Zeaxanthin, and Cryptoxanthin.",Grocery > Masala & Spices,Dry Chilly
Satyam Garam Masala Whole,Satyam,145,134,Grocery,Masala & Spices,100 gm,"OverviewSatyam Garam Masala Whole is a mix of North Indian spices that add a sense of warmth to your mouth. It includes spices such as cinnamon, cardamom, clove, mace any many others. You can use these spices in a variety of cuisines and dishes to add a little flavour and spice to them.",Grocery > Masala & Spices,Garam Masala
Satyam Lavang,Satyam,117,108,Grocery,Masala & Spices,50 gm,"BenefitsPure and Natural spices no adeltrationCare Instructionskeep in cool and dry placeAbout the BrandIt takes experience &amp; expertise to deliver the right taste. Since the past 50 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, Groceries &amp; Customized Giftable Packaging&rsquo;s for special occasions. Keeping pace with consumer requirements, we have introduced hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses and Groceries.",Grocery > Masala & Spices,Clove
Satyam Bore Chilly,Satyam,160,148,Grocery,Masala & Spices,100 gm,"OverviewBore chilly are large round chillies, which are bright or dark red in colour. When dried, their skin turns a translucent red-brown colour and their seeds rattle inside. Thay are used in many classic recipes including dal.About the BrandIt takes experience & expertise to deliver the right taste. Since the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, and Groceries. Keeping pace with consumer requirements, they have introduced a hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses, and Groceries.",Grocery > Masala & Spices,Dry Chilly
Satyam Ajma,Satyam,107,99,Grocery,Masala & Spices,100 gm,"OverviewAjma is the Gujarati name for carom seeds, they are tiny oval-shaped seeds with a penetrating taste. It has been used in Indian cooking for centuries and is still used in many popular traditional dishes today. They are known for their enchanting aroma and have many health benefits.IngredientAjmaAbout the BrandIt takes experience & expertise to deliver the right taste. Since the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, and Groceries. Keeping pace with consumer requirements, they have introduced a hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses, and Groceries.",Grocery > Masala & Spices,Ajma
Satyam Pumpkin Seeds Salted,Satyam,121,112,Grocery,Masala & Spices,100 gm,"Overview:Nutrition rich, pumpkin seeds are known to be a great source of protein and unsaturated fats, including omega-6 fatty acids.Key FeaturesHigh qualityHygienically packedBenefitsHigh in fibreCholesterol freeLow sodium snackFull of antioxidantsCould help promote better sleepStorage Store in a cool, dry & hygienic place.About the BrandSince the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulses, Groceries & Customized Giftable Packaging for special occasions.",Grocery > Masala & Spices,Pumpkin Seeds
Satyam Methi,Satyam,25,23,Grocery,Masala & Spices,100 gm,"OverviewMethi or fenugreek is an herb widely used in cooking across many cuisines. Meethi seeds have a strong aroma and flavour. The seeds are slightly bitter, but they lose their bitterness after being lightly roasted. They are rich in vitamins A, B6, and C, and are a rich storehouse of many minerals such as copper, potassium, calcium, iron, selenium, zinc, manganese, and magnesium. It also provides you with a ton of health benefits.Key Features- Bitter in taste- Rich in vitamins A, B6 and C",Grocery > Masala & Spices,Fenugreek Seeds
Satyam Quinoa,Satyam,74,68,Grocery,Masala & Spices,100 gm,"OverviewQuinoa is an edible seed that is used in a variety of exotic dishes, especially breakfast items. The seed is native to South America and has many health benefits. It is a rich source of Manganese, Magnesium, Phosphorus, Folate and Vitamin B1.Key Features- Plant-based source of protein- High fibre content- A source of antioxidants- Helps meet manganese requirements- Good source of iron",Grocery > Masala & Spices,Quinoa
Premia Rai Red,,33,25,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices,Mustard Seeds
Amrut Dhana Dal,Amrut,95,65,Grocery,Masala & Spices,200 gm,"Key Features Healthy & Tasty Mukhwas, Crunchy Mukhwas How to Use After Meal Or Enjoy It In Small Bites Any Time You Like Any Other Must-Know InformationLarge pouch Amrut dhana dal ? Having Mukhwas (Mouth Freshener) after meals is sort of a tradition in India, but offering it is the tradition of hospitality industry.Amrut Dhana dal?s large pouch is something on the priority list of every restaurant and hotel that is stocking up its refreshment offerings BenefitsCoriander seeds are anti-bacterial, anti-microbial and anti-inflammatory in nature, and hence, consuming Dhana dal after meals can have many medicinal benefits.Freshens your breathBoosts your immune systemRefreshing after-meal mouth freshenerImproves oral healthAbout the BrandSince last 50 years Dhana dal & Mukhwas has been offering every meal an ending it deserves. Taking this legacy forward since 2007 is Amrut Dhana dal.AMRUT- One of the leading manufacturers of Dhana dal, Mukhwas Rajgara Aata, has today emerged as Brand that is a synonym of trust. With the use of high-quality of raw material and natural goodness of ingredients, today the name ?AMRUT? stands for Quality.Standing tall on the pillars of Quality, Expertise and Innovation, AMRUT has been repeatedly underlining its position as the market leader.",Grocery > Masala & Spices,Dhana Dal
Carnival Pumpkin Seeds,Carnival,150,102,Grocery,Masala & Spices,100 gm,"Key Features- High quality - Hygienically packedDisclaimer If AnyNutrition rich, pumpkin seeds are known to be a great source of protein and unsaturated fats, including omega-6 fatty acids.Benefits- High in fibre.- Cholesterol free.- Low sodium snack.- Full of antioxidants.- Could help promote better sleep.Care InstructionsStore in a cool, dry & hygienic place.",Grocery > Masala & Spices,Pumpkin Seeds
Carnival Sunflower Seeds,Carnival,100,63,Grocery,Masala & Spices,100 gm,"Key Features- High quality - Hygienically packedBenefits- Snack on healthy sunflower seeds or sprinkle them over your chapatis and salads, to enjoy its many health benefits.- Known to be high in protein.- Rich in healthy fats.- Good source of antioxidants that can lower your risk of developing serious conditions.Care InstructionsStore in a cool, dry & hygienic place.",Grocery > Masala & Spices,Sunflower Seeds
Carnival Watermelon Seeds,Carnival,80,66,Grocery,Masala & Spices,100 gm,"OverviewCarnival watermelon seeds are sourced from India. The roasted watermelon seeds are an interesting snack that has many nutritional benefits. Watermelon seeds are wonder foods that are packed with protein and nutrients. They are great for snacking by themselves or when included in food like bread and baked goods or in salads as toppings. Watermelon seeds are high in calories but most of the calories come from healthy fatty acids and proteins. One cup of watermelon seeds boosts your metabolism.IngredientsWatermelon seeds- Serving Size: 100g - Energy (kcal) 617 - Total Fat (g) 53.17 - Carbohydrate (g) 17.53 - Protein (g) 16.98 - Sugar (g) 15.43 - Sodium (mg) 30.8 - Dietary Fiber (g) 2.1 - Cholesterol (mg) 0Other must know InformationAllergen Advice: Packed in a facility that processes tree nuts, Soya and Dairy Products.Storage InstructionsStore in a Cool and dry place.",Grocery > Masala & Spices,Watermelon Seeds
Pink Harvest Farms Chia Seeds,Pink Harvest Farms,399,199,Grocery,Masala & Spices,350 gm,"Key Features- Power Packed With Fibre, Protein & Omega 3- 100% Vegan Superfood - Gluten Free- Diabetic Friendly - Weight Loss Friendly- 100% NaturalIngredientsRaw Whole Chia SeedsHow to UseUse In Juices. Smoothies and PuddingsOther must know InformationBest before 24 months from manufacturing",Grocery > Masala & Spices,Chia Seeds
Pink Harvest Farms Tri-Colour Quinoa,Pink Harvest,399,199,Grocery,Masala & Spices,350 gm,"Key Features- Gluten-Free- Vegan- Power-packed with Protein and Anti- OxidantsHow to UseCooks Just like Rice. Some meal options below:1. Quinoa Pulao: Ditch the rice for good with this delicious mix of red, white and black quinoa. Use it as a rice substitute in pulao&rsquo;s, biryanis and much more!2. Quinoa Salad: Toss the Tricolour quinoa with your favourite veggies and salad dressing for a perfect, filling meal!3. Mexican Quinoa Bowl: Toss your favourite veggies in with some Mexican spices for a zesty, filling meal!Benefits- 1/4th cup of Pink Harvest tri-colour Quinoa provides: - 6 gms of protein equal to that of 2 egg white- 2x protein & 4x fibre compared to basmati rice- 3gms fibre which is the same as 1 large banana",Grocery > Masala & Spices,Quinoa
Everest Kashmirilal Red Chilli Powder,Everest,96,85,Grocery,Masala & Spices,100 gm,"Overview:Fine ground red chillies of the finest quality distinguished by their brilliant red colour and mild pungency.Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of pungency. Chilli is America's most important contribution to the world of spices, though today it is one of India's major export attractions.Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other States. The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.About the BrandEverest offers a wide range of 45 variety of spices (whole spices and blends) with fifty-two years of dedication to maintain the same standards of purity, freshness and authenticity in every pack, getting their aroma and flavor, consistently right.",Grocery > Masala & Spices,Chili Powder
Everest Tikhalal Chilli Powder,Everest,54,50,Grocery,Masala & Spices,100 gm,"
A fine-ground chilli powder that is a perfect blend of colour and pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours and degrees of pungency. Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other states.
The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.

Benefits
- Chillies are used in Indian dishes for their hot taste and reddish colour
- Red chilli grounded together with coconut gives curry a firm texture
- Chillies are a great source of vitamin C and good for digestion
",Grocery > Masala & Spices,Chili Powder
Everest Tikhalal Chilli Powder,Everest,116,90,Grocery,Masala & Spices,200 gm,"
A fine-ground chilli powder that is a perfect blend of colour and pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours and degrees of pungency. Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other states.
The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.

Benefits
- Chillies are used in Indian dishes for their hot taste and reddish colour
- Red chilli grounded together with coconut gives curry a firm texture
- Chillies are a great source of vitamin C and good for digestion
",Grocery > Masala & Spices,Chili Powder
Everest Tikhalal Chilli Powder,Everest,280,245,Grocery,Masala & Spices,500 gm,"
A fine-ground chilli powder that is a perfect blend of colour and pungency.

Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours and degrees of pungency. Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other states.
The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.

Benefits
- Chillies are used in Indian dishes for their hot taste and reddish colour
- Red chilli grounded together with coconut gives curry a firm texture
- Chillies are a great source of vitamin C and good for digestion
",Grocery > Masala & Spices,Chili Powder
Everest Garam Masala,Everest,46,38,Grocery,Masala & Spices,50 gm,"
A select blend of 13 spices go into this grand old universal taste enhancer. Being chilli based, it provides an exotic red gravy to dishes. It is widely used all over India on account of being a less pungent garam masala. Fennel, Tejpatta (Cinnamon leaves), and Trifala imparts a cooling effect to this blend.

Usage
- It is used essentially for preparing vegetarian dishes requiring a gravy
- Gujaratis and Marwaris normally use it in lentils (dal), and for filling in snacks such as samosa, usal, patra, farsan etc.
",Grocery > Masala & Spices,Garam Masala Powder
Everest Garam Masala,Everest,88,71,Grocery,Masala & Spices,100 gm,"
A select blend of 13 spices go into this grand old universal taste enhancer. Being chilli based, it provides an exotic red gravy to dishes. It is widely used all over India on account of being a less pungent garam masala. Fennel, Tejpatta (Cinnamon leaves), and Trifala imparts a cooling effect to this blend.

Usage
- It is used essentially for preparing vegetarian dishes requiring a gravy
- Gujaratis and Marwaris normally use it in lentils (dal), and for filling in snacks such as samosa, usal, patra, farsan etc.
",Grocery > Masala & Spices,Garam Masala Powder
Ramdev Strong Hing,Ramdev,160,130,Grocery,Masala & Spices,50 gm,"Overview:An inseparable spice of Indian cuisine, asafoetida or Strong Hing Powder, is a gum obtained from a type of giant fennel. It has an aggressive smell but an appetizing flavor and taste. Ramdev's hing powder is perfect to add to everyday vegetables, gravies and more.Ingredients:Wheat Flour, Edible Gum, Asafoetida, Wheat Flour 55% approx.Health Benefits:Hing is made up of approximately 15% volatile oils, including ferulic acid, certain tannols, and a variety of other active components that contribute to the health benefits regularly seen as a result of consumption.Improves digestion: Asafoetida is often prescribed for those who suffer from gas, intestinal worms, irritable bowel syndrome (IBS), indigestion, and basically any disorder that affects your gastrointestinal system. This can include reducing cramps, bloating, constipation, diarrhea, ulcers, and excessive gas. Many recommend using it in bean dishes because it helps prevent bloating.Increases immunity: As an antiviral, antibiotic, anti-inflammatory, and expectorant substance, it helps deal with respiratory ailments. It can help remove excess mucus from the system, while neutralizing bacteria and pathogens that can be found in the airways, effectively boosting your immune system, and allowing you to breathe easily. Historical uses of Ramdev hing include relief from bronchitis, asthma, whooping cough, and more.Female health: This herb can also be useful for the prevention and treatment of various bowel ailments and for female health issues, such as infertility, preterm labor, painful and excessive menstruation and leucorrhea.Tooth or earache: Ramdev Strong Hing Powder is also a good home remedy for tooth and earaches. Mix water and hing and gargle using this water in case of toothaches. For pain in the ear, mix hing with coconut oil and use this as ear drops for relief.Application:The dried variety of asafoetida can be crushed into a spice and added to many different foods, and is commonly found in Indian cuisine, in dressings, stir-fries, and as a typical spice. Its pungent odor is usually reduced to a more manageable level when cooked in oil or ghee.Ramdev Hing Powder should be used in very small amounts to add uniqueness and health benefits to your cooking.Buy Ramdev Strong Hing Powder and add extra flavour in lentils (dals), stews and vegetarian soups and pickles. It can also be tasty in fish dishes. Some even used it as a condiment.Storage Condition:Store in a cool and dry place.",Grocery > Masala & Spices,Hing
Ramdev Strong Hing,Ramdev,290,225,Grocery,Masala & Spices,100 gm,"Overview:An inseparable spice of Indian cuisine, asafoetida or Strong Hing Powder, is a gum obtained from a type of giant fennel. It has an aggressive smell but an appetizing flavor and taste. Ramdev's hing powder is perfect to add to everyday vegetables, gravies and more.Ingredients:Wheat Flour, Edible Gum, Asafoetida, Wheat Flour 55% approx.Health Benefits:Hing is made up of approximately 15% volatile oils, including ferulic acid, certain tannols, and a variety of other active components that contribute to the health benefits regularly seen as a result of consumption.Improves digestion: Asafoetida is often prescribed for those who suffer from gas, intestinal worms, irritable bowel syndrome (IBS), indigestion, and basically any disorder that affects your gastrointestinal system. This can include reducing cramps, bloating, constipation, diarrhea, ulcers, and excessive gas. Many recommend using it in bean dishes because it helps prevent bloating.Increases immunity: As an antiviral, antibiotic, anti-inflammatory, and expectorant substance, it helps deal with respiratory ailments. It can help remove excess mucus from the system, while neutralizing bacteria and pathogens that can be found in the airways, effectively boosting your immune system, and allowing you to breathe easily. Historical uses of Ramdev hing include relief from bronchitis, asthma, whooping cough, and more.Female health: This herb can also be useful for the prevention and treatment of various bowel ailments and for female health issues, such as infertility, preterm labor, painful and excessive menstruation and leucorrhea.Tooth or earache: Ramdev Strong Hing Powder is also a good home remedy for tooth and earaches. Mix water and hing and gargle using this water in case of toothaches. For pain in the ear, mix hing with coconut oil and use this as ear drops for relief.Application:The dried variety of asafoetida can be crushed into a spice and added to many different foods, and is commonly found in Indian cuisine, in dressings, stir-fries, and as a typical spice. Its pungent odor is usually reduced to a more manageable level when cooked in oil or ghee.Ramdev Hing Powder should be used in very small amounts to add uniqueness and health benefits to your cooking.Buy Ramdev Strong Hing Powder and add extra flavour in lentils (dals), stews and vegetarian soups and pickles. It can also be tasty in fish dishes. Some even used it as a condiment.Storage Condition:Store in a cool and dry place.",Grocery > Masala & Spices,Hing
Premia Extra Strong Hing Powder,Premia,90,54,Grocery,Grocery/Masala & Spices,50 gm,"Key Features- Compounded hing for everyday home cooking- Authentic natural aroma adds taste & flavour to final preparation- Strong Compounded Hing- Easy to use and store; comes in a convenient pet bottleIngredientsWheat Flour, Gum Arabica, Asafoetida. Wheat Flour added (59.6%)Other must know InformationAllergen Declaration: Contains GlutenStorage Instructions Store in cool & dry Place",Grocery > Grocery/Masala & Spices,Hing
Premia Extra Strong Hing Powder,Premia,175,99,Grocery,Grocery/Masala & Spices,100 gm,"IngredientsWheat Flour, Gum Arabica, Asafoetida. Wheat Flour added (59.6%)Other must know InformationAllergen Declaration: Contains GlutenStorage InstructionsStore in dry and Hygienic Place",Grocery > Grocery/Masala & Spices,Hing
Maggi Masala-A-Magic,Maggi,60,54,Grocery,Masala & Spices,72 gm,"Key Features- Blend of 10 Aromatic Roasted Spices - Fortified with Iron, Iodine, Vitamin A - Add Magic of taste to your everyday dishes - Delight your kids with extraordinary taste!IngredientsMixed spices (38.7%) [Roasted spice powder (14%) (Coriander, Turmeric (3.5%), Cumin (1.7%), Aniseed (1 4%), Black pepper (0.9%), Fenugreek (0.7%), Ginger, Clove (0.3%), Green cardamom (0.3%), Nutmeg (0.3%)), Red chilli powder (7%), Dehydrated onion, Dried garlic, Capsicum extract, Roasted cumin powder (3.5%),Spice extract blend (Capsicum extract, Coriander extract, Cumin extract ( 0.001%))] , Iodised salt, Sugar, Flavour enhancer (635), Palm oil, Edible starch, Vitamin mineral premix [Minerals (Ferric pyrophosphate, Potassium iodate), Carrier (Starch), Vitamin (Retinyl acetate)], Acidity regulator (330) and Caramel salt mix (Iodised salt, Colour (150d), Palm oil).Other must know InformationCONTAINS PERMITTED NATURAL COLOUR AND ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES) May Contain Gluten, Milk, Mustard and Soya.",Grocery > Masala & Spices,Maggi Masala
Everest Chaat Masala,Everest,39,32,Grocery,Masala & Spices,50 gm,"
Chaat is a racy blend that gives a wild and lively tweak to the well-worn taste of Salads, Sandwiches, Fresh fruits, Finger chips, Snacks, Soft drinks, Sprouted beans... you name it. Just sprinkle, and savour, a new kind of excitement.

- Sprinkle on Salties, Samosas, Sandwiches, Tikkies, Pizzas, Pakoras, Soft drink, Dahi Wadas, Papris, Burgers, Wafers, Paneer-Tikkas etc.
",Grocery > Masala & Spices,Chaat Masala
Everest Chaat Masala,Everest,73,60,Grocery,Masala & Spices,100 gm,"
Chaat is a racy blend that gives a wild and lively tweak to the well-worn taste of Salads, Sandwiches, Fresh fruits, Finger chips, Snacks, Soft drinks, Sprouted beans... you name it. Just sprinkle, and savour, a new kind of excitement.

- Sprinkle on Salties, Samosas, Sandwiches, Tikkies, Pizzas, Pakoras, Soft drink, Dahi Wadas, Papris, Burgers, Wafers, Paneer-Tikkas etc.
",Grocery > Masala & Spices,Chaat Masala
LG Hing,LG Hing,85,73,Grocery,Masala & Spices,50 gm,"BenefitsCompounded Asafoetida Is & Also Useful As A Digestive Spice That Has The Additional Benefit Of Lowering Cholesterol And Reducing Gas, And Other Health Problems.IngredientsGum Arabic, Maida, AsafoetidaAbout the BrandTo Provide That Essential Tadka To Each Dish, Laljee Godhoo & Co Has Been A Trusted Manufacturer Of Compounded Asafoetida Since 1894. To Use L.G. Lumps, Cook A Piece Of This Cake In Oil To Bring Out Its Piquant Qualities. As Soon As Asafoetida Is Added To A Liquid, It Brings Out An Earthy Aroma To Amplify Flavours Of Certain Dishes Like Sambhar, Rasam And Other Stews. A Pinch Of L.G. Powder Can Be Directly Added To Oil Along With Your Favourite Spices, And It Will Blend In The Backdrop, Bringing Out Enhanced Flavours Of Other Spices",Grocery > Masala & Spices,Hing
LG Hing,LG Hing,165,142,Grocery,Masala & Spices,100 gm,"BenefitsCompounded Asafoetida Is & Also Useful As A Digestive Spice That Has The Additional Benefit Of Lowering Cholesterol And Reducing Gas, And Other Health Problems.IngredientsGum Arabic, Maida, AsafoetidaAbout the BrandTo Provide That Essential Tadka To Each Dish, Laljee Godhoo & Co Has Been A Trusted Manufacturer Of Compounded Asafoetida Since 1894. To Use L.G. Lumps, Cook A Piece Of This Cake In Oil To Bring Out Its Piquant Qualities. As Soon As Asafoetida Is Added To A Liquid, It Brings Out An Earthy Aroma To Amplify Flavours Of Certain Dishes Like Sambhar, Rasam And Other Stews. A Pinch Of L.G. Powder Can Be Directly Added To Oil Along With Your Favourite Spices, And It Will Blend In The Backdrop, Bringing Out Enhanced Flavours Of Other Spices",Grocery > Masala & Spices,Hing
LG Hing,LG Hing,335,273,Grocery,Masala & Spices,200 gm,"BenefitsCompounded Asafoetida Is & Also Useful As A Digestive Spice That Has The Additional Benefit Of Lowering Cholesterol And Reducing Gas, And Other Health Problems.IngredientsGum Arabic, Maida, AsafoetidaAbout the BrandTo Provide That Essential Tadka To Each Dish, Laljee Godhoo & Co Has Been A Trusted Manufacturer Of Compounded Asafoetida Since 1894. To Use L.G. Lumps, Cook A Piece Of This Cake In Oil To Bring Out Its Piquant Qualities. As Soon As Asafoetida Is Added To A Liquid, It Brings Out An Earthy Aroma To Amplify Flavours Of Certain Dishes Like Sambhar, Rasam And Other Stews. A Pinch Of L.G. Powder Can Be Directly Added To Oil Along With Your Favourite Spices, And It Will Blend In The Backdrop, Bringing Out Enhanced Flavours Of Other Spices",Grocery > Masala & Spices,Hing
Vandevi Hing Powder,Vandevi,76,38,Grocery,Masala & Spices,50 gm,"Overview:The secret to delicious food - a pinch of hing. Vandevi employs a blend of traditional and modern processing techniques for sorting, cleaning and preparing Hing which is perfect to be used for culinary and medical purposes.IngredientsEdible Gum,Wheat Flour, AsafoetidaHow to UseIt can be added to curries, upmas, rasam etc.About the BrandFor more than 35 years, Sargam Food Pvt. Ltd. has been in the league of one of the most renowned manufacturers and exporters of Vandevi Bandhani Hing (a well known brand since the last 85 Years) and Vaidehi Bandhani Hing, in the market since its inception. ",Grocery > Masala & Spices,Hing
Vandevi Hing Powder,Vandevi,152,76,Grocery,Masala & Spices,100 gm,"Overview:The secret to delicious food - a pinch of hing. Vandevi employs a blend of traditional and modern processing techniques for sorting, cleaning and preparing Hing which is perfect to be used for culinary and medical purposes.IngredientsEdible Gum,Wheat Flour, AsafoetidaHow to UseIt can be added to curries, upmas, rasam etc.About the BrandFor more than 35 years, Sargam Food Pvt. Ltd. has been in the league of one of the most renowned manufacturers and exporters of Vandevi Bandhani Hing (a well known brand since the last 85 Years) and Vaidehi Bandhani Hing, in the market since its inception. ",Grocery > Masala & Spices,Hing
Premia Yellow Hing Powder,,60,32,Grocery,Masala & Spices,50 gm,"Storage Condition Store in dry and Hygienic Place  How to Use Add a pinch of Catch Hing to your tadka. Another application is as a direct spice to curries, vegetables and gravies. You can also use Catch Hing for marinating white and red meat.",Grocery > Masala & Spices,Hing
Premia Yellow Hing Powder,,110,59,Grocery,Masala & Spices,100 gm,"IngredientsRice Flour, Gram Arabica, Asafoetida.How to UseAdd a pinch of Catch Hing to your tadka. Another application is as a direct spice to curries, vegetables and gravies. You can also use Catch Hing for marinating white and red meat.",Grocery > Masala & Spices,Hing
Everest Pav Bhaji Masala,Everest,41,33,Grocery,Masala & Spices,50 gm,"
Pav bhaji masala is the blend that took Mumbai by storm. 'Pav' means a bun shaped homemade bread and 'Bhaji' means mashed vegetables.

From its humble origins in the by-lanes of Mumbai, it has become a 'must' on menus in 5-Star restaurants and celebrity weddings. Dished out in the far-flung corners of the country, it has acquired the status of a foremost vegetarian recipe.
Equally popular as a snack or a meal, this easy-to-cook dish enjoys a special place in the hearts of house wives.

Usage
- In Pavbhaji, and other crushed and mashed veg. cuisine that uses potatoes, tomatoes and capsicums
",Grocery > Masala & Spices,Garam Masala
Everest Pav Bhaji Masala,Everest,78,62,Grocery,Masala & Spices,100 gm,"
Pav bhaji masala is the blend that took Mumbai by storm. 'Pav' means a bun shaped homemade bread and 'Bhaji' means mashed vegetables.

From its humble origins in the by-lanes of Mumbai, it has become a 'must' on menus in 5-Star restaurants and celebrity weddings. Dished out in the far-flung corners of the country, it has acquired the status of a foremost vegetarian recipe.
Equally popular as a snack or a meal, this easy-to-cook dish enjoys a special place in the hearts of house wives.

Usage
- In Pavbhaji, and other crushed and mashed veg. cuisine that uses potatoes, tomatoes and capsicums
",Grocery > Masala & Spices,Garam Masala
Everest Kitchen King Masala,Everest,80,62,Grocery,Masala & Spices,100 gm,"
Explore the 'Curry' experience with this classic blend that gives vegetable curries a lordly taste and a mild, subdued flavour.

Being coriander and turmeric based, the blend gives curry an appetising golden hue. It is the recommended blend to prepare India's much loved vegetarian dish, home-bred Cheese in fresh green peas - Mattar Paneer.
Paneer curries and light gravies are enhanced with the fragrance and taste of Everest Kitchen King.

Usage
- Ideal for vegetable & paneer dishes with mild curry
",Grocery > Masala & Spices,Garam Masala
Everest Turmeric Powder,Everest,70,55,Grocery,Masala & Spices,200 gm,"
A garden-fresh turmeric powder that has a golden-yellow colour, because of its high curcumin (colour property) content. It is a popular variety in India, where turmeric is used as a key colouring agent in 'curries'.

Features
- Has a mild, earthy and woody flavour
- It stimulates protein digestion and is an excellent blood purifier
",Grocery > Masala & Spices,Turmeric Powder
Everest Turmeric Powder,Everest,165,129,Grocery,Masala & Spices,500 gm,"
A garden-fresh turmeric powder that has a golden-yellow colour, because of its high curcumin (colour property) content. It is a popular variety in India, where turmeric is used as a key colouring agent in 'curries'.

Features
- Has a mild, earthy and woody flavour
- It stimulates protein digestion and is an excellent blood purifier
",Grocery > Masala & Spices,Turmeric Powder
